GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,GEOID,TotalPopulaton,White,Black,AIAN,Asian,NHPI,Other,TwoOrMore,NotHispanicOrLatino,HispanicOrLatino,TotalPopulation25Over,NoSchooling,EarlyChildhoodEducation,HighSchool,SomeCollege,Associates,Bachelors,TotalHouseholds,LimitedEnglishSpeaking,NotLimitedEnglishSpeaking,MedianIncome,HouseholdsWithElectronics,HouseholdsWithComputer,HouseholdsWithMobileDevices,HouseholdsNoComputers
G3500230,2016-2020,NM,New Mexico,35,Hidalgo County,05000US35023,4234,3640,36,60,0,0,135,726,1750,2484,3021,65,138,1337,646,234,601,1742,97,1645,44722,1462,1046,1378,280
G3500250,2016-2020,NM,New Mexico,35,Lea County,05000US35025,70359,56826,2585,735,403,10,3566,12468,28326,42033,42233,1017,3942,18885,8886,3343,6160,22868,1899,20969,61867,20431,14488,19721,2437
G3500270,2016-2020,NM,New Mexico,35,Lincoln County,05000US35027,19640,17303,366,239,28,0,293,2822,13068,6572,14884,154,238,5967,3747,1039,3739,8478,182,8296,44939,7738,5994,7197,740
G3500280,2016-2020,NM,New Mexico,35,Los Alamos County,05000US35028,18976,15968,153,179,933,0,405,2676,15536,3440,13466,29,64,1509,1863,903,9098,7895,313,7582,119266,7550,7149,7142,345
G3500290,2016-2020,NM,New Mexico,35,Luna County,05000US35029,24022,20219,349,224,236,0,789,4410,7780,16242,15463,512,1621,7873,2579,859,2019,8911,994,7917,32251,6879,4150,6422,2032
G3500310,2016-2020,NM,New Mexico,35,McKinley County,05000US35031,71956,9404,379,54439,797,120,3303,7028,61565,10391,44344,1075,2682,21997,10174,3295,5121,21247,1573,19674,36179,14389,9584,13576,6858
G3500330,2016-2020,NM,New Mexico,35,Mora County,05000US35033,4500,2508,2,24,0,0,1478,976,833,3667,3573,20,118,1562,981,264,628,2278,82,2196,29458,1390,783,1271,888
G3500350,2016-2020,NM,New Mexico,35,Otero County,05000US35035,66804,50081,2310,4577,843,155,3459,10758,40936,25868,44319,509,1737,16030,13240,4438,8365,23112,1282,21830,45032,20821,17307,19282,2291
G3500370,2016-2020,NM,New Mexico,35,Quay County,05000US35037,8265,6628,52,188,86,56,808,894,4488,3777,6025,54,161,3103,1226,554,927,3182,119,3063,33962,2476,1916,2311,706
G3500390,2016-2020,NM,New Mexico,35,Rio Arriba County,05000US35039,38962,19088,231,6179,234,7,10240,5966,11143,27819,26780,246,1196,11137,6933,2324,4944,13035,344,12691,42264,9468,7268,9131,3567
G3500410,2016-2020,NM,New Mexico,35,Roosevelt County,05000US35041,18723,13685,464,157,79,24,2999,2630,10718,8005,10871,269,560,4695,2425,544,2378,6785,295,6490,42917,5883,4803,5459,902
G3500430,2016-2020,NM,New Mexico,35,Sandoval County,05000US35043,144954,100168,3477,17786,2243,261,8927,24184,87512,57442,100051,470,2254,31737,24134,10467,30989,52504,2293,50211,65071,48160,42427,45093,4344
G3500450,2016-2020,NM,New Mexico,35,San Juan County,05000US35045,125608,61878,1062,48718,973,64,6086,13654,99090,26518,81603,861,2683,31518,23390,10570,12581,43582,2505,41077,47643,36899,28184,34439,6683
G3500470,2016-2020,NM,New Mexico,35,San Miguel County,05000US35047,27546,16117,404,453,354,46,8147,4050,6103,21443,19719,215,978,7061,5274,1845,4346,11942,1179,10763,32310,9039,7158,8344,2903
G3500490,2016-2020,NM,New Mexico,35,Santa Fe County,05000US35049,150319,118759,1664,4932,1961,245,11993,21530,73676,76643,112233,991,4204,32061,21169,8127,45681,63152,2265,60887,60668,56568,49976,53060,6584
G3500510,2016-2020,NM,New Mexico,35,Sierra County,05000US35051,10988,9471,41,394,84,0,303,1390,7572,3416,8749,40,305,3259,2286,929,1930,5402,39,5363,33873,4344,3330,3998,1058
G3500530,2016-2020,NM,New Mexico,35,Socorro County,05000US35053,16723,12289,117,2064,359,0,457,2874,8322,8401,10852,220,470,5286,1962,526,2388,5002,584,4418,40297,3638,3127,3130,1364
G3500550,2016-2020,NM,New Mexico,35,Taos County,05000US35055,32759,25627,89,1927,283,3,1897,5866,14138,18621,24737,265,414,7728,6151,2193,7986,12592,457,12135,41973,10803,9471,9817,1789
G3500570,2016-2020,NM,New Mexico,35,Torrance County,05000US35057,15477,12647,263,195,191,0,1432,1498,8725,6752,10643,57,308,4994,2952,673,1659,5957,164,5793,38240,5096,3773,4690,861
G3500590,2016-2020,NM,New Mexico,35,Union County,05000US35059,4106,3397,62,97,1,0,235,628,2345,1761,2970,32,109,1651,649,159,370,1404,85,1319,35484,1010,785,921,394
G3500610,2016-2020,NM,New Mexico,35,Valencia County,05000US35061,76518,58300,1050,3105,802,0,6818,12886,29912,46606,51847,879,2002,21832,12431,4401,10302,26456,1109,25347,50801,22411,18006,20511,4045
G3600010,2016-2020,NY,New York,36,Albany County,05000US36001,306165,227078,37645,422,20849,98,4772,30602,287185,18980,205082,2376,3133,54899,31823,23533,89318,128122,3339,124783,68327,117981,103124,109830,10141
G3600030,2016-2020,NY,New York,36,Allegany County,05000US36003,46304,44175,757,101,484,26,142,1238,45522,782,29906,214,718,12124,5776,4230,6844,18028,83,17945,51227,15623,13081,14018,2405
G3600050,2016-2020,NY,New York,36,Bronx County,05000US36005,1427056,306569,497301,9539,55362,1786,459756,193486,627291,799765,930184,40410,79941,384792,161946,74162,188933,510135,91327,418808,41895,456485,330235,438420,53650
G3600070,2016-2020,NY,New York,36,Broome County,05000US36007,192042,162553,10219,359,8522,138,2531,15440,183587,8455,127556,1735,2146,48105,22585,16243,36742,79528,1410,78118,52237,70992,61133,64998,8536
G3600090,2016-2020,NY,New York,36,Cattaraugus County,05000US36009,76750,70260,1147,2462,541,0,458,3764,75078,1672,52725,608,1242,24236,9017,7126,10496,31999,328,31671,50700,27144,21541,24171,4855
G3600110,2016-2020,NY,New York,36,Cayuga County,05000US36011,76958,70048,2997,98,479,51,603,5364,74622,2336,55612,420,1359,23160,10602,7851,12220,30870,264,30606,57985,27331,22569,25069,3539
G3600130,2016-2020,NY,New York,36,Chautauqua County,05000US36013,127584,116046,3437,332,679,59,3195,7672,117767,9817,89393,923,2332,37101,16224,12196,20617,53625,993,52632,48315,46308,38693,41414,7317
G3600150,2016-2020,NY,New York,36,Chemung County,05000US36015,84115,73504,4992,322,1270,4,490,7066,81387,2728,59312,617,1054,24861,11242,7568,13970,34328,201,34127,54883,31101,25506,28411,3227
G3600170,2016-2020,NY,New York,36,Chenango County,05000US36017,47527,45462,391,111,193,17,300,2106,46432,1095,34132,426,534,16710,6246,3741,6475,20834,102,20732,51756,18515,15068,16447,2319
G3600190,2016-2020,NY,New York,36,Clinton County,05000US36019,80320,72635,3359,197,994,8,1336,3582,77953,2367,55208,576,1277,24797,9003,6072,13483,31557,135,31422,59510,28368,25004,26069,3189
G3600210,2016-2020,NY,New York,36,Columbia County,05000US36021,60016,52951,2512,53,1071,6,1216,4414,57041,2975,45705,475,932,16118,7003,5787,15390,25323,320,25003,68750,22974,19846,21402,2349
G3600230,2016-2020,NY,New York,36,Cortland County,05000US36023,47618,44715,1016,56,454,5,326,2092,46285,1333,29953,260,546,11321,5776,3991,8059,17980,27,17953,59194,16244,14416,15121,1736
G3600250,2016-2020,NY,New York,36,Delaware County,05000US36025,44676,41874,822,53,366,3,458,2200,42873,1803,32831,399,468,15469,5452,3782,7261,18930,141,18789,49945,16463,13874,14157,2467
G3600270,2016-2020,NY,New York,36,Dutchess County,05000US36027,293524,225543,31432,857,10098,126,10673,29590,256567,36957,206608,2770,3534,66489,36913,21686,75216,110095,2517,107578,81842,102445,91519,95546,7650
G3600290,2016-2020,NY,New York,36,Erie County,05000US36029,918873,708351,120535,4446,34873,272,19939,60914,866438,52435,647994,7845,9411,208183,117411,77607,227537,392910,8610,384300,59464,352391,296132,326637,40519
G3600310,2016-2020,NY,New York,36,Essex County,05000US36031,37281,34659,1195,81,102,19,514,1422,36123,1158,28740,233,479,11183,4986,3285,8574,16182,83,16099,58109,14489,12740,12988,1693
G3600330,2016-2020,NY,New York,36,Franklin County,05000US36033,50389,41452,2842,3130,552,74,1154,2370,48574,1815,35561,534,1040,16118,5900,4603,7366,18880,46,18834,52905,16211,13247,14506,2669
G3600350,2016-2020,NY,New York,36,Fulton County,05000US36035,53452,49696,993,202,399,29,376,3514,51657,1795,38599,480,545,17440,7170,5933,7031,22406,51,22355,51663,19626,14367,18029,2780
G3600370,2016-2020,NY,New York,36,Genesee County,05000US36037,57554,52650,1307,409,462,0,841,3770,55595,1959,41355,294,612,17888,7795,5717,9049,24174,180,23994,60635,21448,18319,19518,2726
G3600390,2016-2020,NY,New York,36,Greene County,05000US36039,47335,41871,2728,345,493,9,597,2584,44413,2922,35517,519,798,16608,4916,4171,8505,17681,211,17470,56681,15124,12824,13476,2557
G3600410,2016-2020,NY,New York,36,Hamilton County,05000US36041,4454,4229,24,16,2,0,8,350,4377,77,3485,38,19,1638,614,484,692,1416,2,1414,60625,1221,816,1034,195
G3600430,2016-2020,NY,New York,36,Herkimer County,05000US36043,61738,58518,866,76,309,54,369,3092,60327,1411,43732,665,723,18778,8391,5937,9238,25093,183,24910,58438,22027,18563,19505,3066
G3600450,2016-2020,NY,New York,36,Jefferson County,05000US36045,111454,95294,6607,493,1883,272,1546,10718,102856,8598,70896,735,1204,28937,15309,8779,15932,43046,390,42656,54726,39458,33636,36733,3588
G3600470,2016-2020,NY,New York,36,Kings County,05000US36047,2576771,1103205,806746,8688,306741,1434,228625,242664,2090499,486272,1780524,52408,98780,597316,230870,109644,691506,972314,138048,834266,63973,868849,748702,828752,103465
G3600490,2016-2020,NY,New York,36,Lewis County,05000US36049,26456,25545,239,49,74,0,203,692,25999,457,18375,190,303,9279,2823,2410,3370,10398,25,10373,56192,9056,7740,8163,1342
G3600510,2016-2020,NY,New York,36,Livingston County,05000US36051,63218,58127,1822,168,709,53,773,3132,60817,2401,42562,434,537,16309,8137,5427,11718,24496,179,24317,60248,22277,19564,20343,2219
G3600530,2016-2020,NY,New York,36,Madison County,05000US36053,70990,66361,1152,404,665,60,437,3822,69354,1636,48061,344,702,19175,7963,7076,12801,25959,116,25843,61176,22968,20372,21147,2991
G3600550,2016-2020,NY,New York,36,Monroe County,05000US36055,743084,554917,112007,2246,27404,499,15630,60762,675494,67590,514795,6880,8703,150259,87113,59950,201890,305210,10367,294843,62087,278583,237829,259608,26627
G3600570,2016-2020,NY,New York,36,Montgomery County,05000US36057,49294,42625,1401,79,327,12,2960,3780,42069,7225,34193,436,1087,14637,7226,4428,6379,19621,572,19049,50146,16767,13514,15369,2854
G3600590,2016-2020,NY,New York,36,Nassau County,05000US36059,1355683,898922,157724,3473,139462,345,96226,119062,1124943,230740,945100,15598,27929,244376,139665,75783,441749,449967,23470,426497,120036,423891,389568,403503,26076
G3600610,2016-2020,NY,New York,36,New York County,05000US36061,1629153,898723,233476,6867,198678,772,190559,200156,1210711,418442,1250303,22809,59419,222632,121216,46744,777483,758720,65931,692789,89812,700495,631505,670772,58225
G3600630,2016-2020,NY,New York,36,Niagara County,05000US36063,210145,181799,14363,1958,1946,97,2269,15426,203390,6755,150950,1448,1953,58184,29091,21622,38652,90022,1052,88970,57252,79715,67605,73393,10307
G3600650,2016-2020,NY,New York,36,Oneida County,05000US36065,229074,193460,13922,506,9521,15,3721,15858,215191,13883,158727,3321,3381,59624,30029,20083,42289,90675,2279,88396,59113,80939,67697,74816,9736
G3600670,2016-2020,NY,New York,36,Onondaga County,05000US36067,461591,363669,51391,2154,17481,149,5311,42872,437989,23602,316302,3750,5130,99204,55142,38766,114310,187349,4329,183020,62668,168307,146658,156071,19042
G3600690,2016-2020,NY,New York,36,Ontario County,05000US36069,109774,100964,2643,301,1456,27,1610,5546,104384,5390,77782,954,853,23834,13514,10772,27855,45711,529,45182,64795,41877,37263,38493,3834
G3600710,2016-2020,NY,New York,36,Orange County,05000US36071,382077,277121,41795,1442,10930,318,29293,42356,301821,80256,244598,4063,5061,85586,48452,26139,75297,130428,4981,125447,80816,117093,102584,110057,13335
G3600730,2016-2020,NY,New York,36,Orleans County,05000US36073,40624,35913,2395,131,267,0,760,2316,38543,2081,29626,617,489,14555,5818,3315,4832,16634,233,16401,52958,14437,11952,13219,2197
G3600750,2016-2020,NY,New York,36,Oswego County,05000US36075,117630,111602,1544,137,844,30,591,5764,114512,3118,80077,606,1449,36681,14818,10441,16082,46597,84,46513,59070,42750,36016,39543,3847
G3600770,2016-2020,NY,New York,36,Otsego County,05000US36077,59593,55323,1261,69,760,70,404,3412,57323,2270,40044,234,557,14443,6633,4814,13363,23768,240,23528,56171,21187,18195,18789,2581
G3600790,2016-2020,NY,New York,36,Putnam County,05000US36079,98714,83948,3349,251,2063,23,6043,6074,83326,15388,70813,727,1310,21610,11863,6350,28953,34915,838,34077,107246,33216,30586,31191,1699
G3600810,2016-2020,NY,New York,36,Queens County,05000US36081,2270976,814353,409975,10641,588875,1150,311820,268324,1639319,631657,1640266,58990,103877,563277,237620,127459,549043,783362,142763,640599,72028,718991,610543,687170,64371
G3600830,2016-2020,NY,New York,36,Rensselaer County,05000US36083,159013,135101,9976,200,4356,14,2131,14470,150831,8182,112000,959,1935,36283,19531,15323,37969,65455,940,64515,72510,60265,51976,55544,5190
G3600850,2016-2020,NY,New York,36,Richmond County,05000US36085,475596,340436,48623,1149,47605,141,18419,38446,387863,87733,332149,6776,9745,120527,55603,24252,115246,167160,10751,156409,85381,152581,135246,142623,14579
G3600870,2016-2020,NY,New York,36,Rockland County,05000US36087,325213,227473,39485,602,19474,22,25901,24512,267177,58036,203609,3692,7097,57264,34579,15727,85250,101167,8503,92664,94840,90502,82121,83592,10665
G3600890,2016-2020,NY,New York,36,St. Lawrence County,05000US36089,108352,100308,2814,732,1116,54,952,4752,105798,2554,71681,676,2287,31056,12224,8548,16890,41925,257,41668,52071,36741,30451,33611,5184
G3600910,2016-2020,NY,New York,36,Saratoga County,05000US36091,229313,211258,3906,479,6640,18,1099,11826,221705,7608,164817,1503,1660,47182,26130,19102,69240,95898,838,95060,85224,89760,81059,83561,6138
G3600930,2016-2020,NY,New York,36,Schenectady County,05000US36093,155086,116991,15827,408,7173,50,5333,18608,143735,11351,107534,1323,1994,37027,18570,14119,34501,57479,821,56658,66488,53188,44442,49269,4291
G3600950,2016-2020,NY,New York,36,Schoharie County,05000US36095,31189,29271,524,62,301,9,280,1484,30134,1055,22383,210,368,9619,4211,2696,5279,12780,65,12715,58926,11106,9153,9984,1674
G3600970,2016-2020,NY,New York,36,Schuyler County,05000US36097,17845,17204,140,24,131,0,56,580,17514,331,13219,179,152,5430,2899,1497,3062,7402,65,7337,53291,6649,5608,6003,753
G3600990,2016-2020,NY,New York,36,Seneca County,05000US36099,34295,31004,1770,125,265,7,291,1666,33051,1244,24681,287,950,10959,4013,3205,5267,13784,161,13623,54865,12349,10300,11231,1435
G3601010,2016-2020,NY,New York,36,Steuben County,05000US36101,95843,90104,1597,132,1493,0,631,3772,94229,1614,67942,583,1406,28076,11288,9856,16733,40099,259,39840,55349,35579,30144,32135,4520
G3601030,2016-2020,NY,New York,36,Suffolk County,05000US36103,1481364,1161861,113699,4172,60873,526,78284,123898,1191103,290261,1033886,25026,24374,322789,175703,100078,385916,495667,14429,481238,105362,464737,426974,438456,30930
G3601050,2016-2020,NY,New York,36,Sullivan County,05000US36105,75329,58986,6159,158,1292,6,4572,8312,63008,12321,53315,1030,1678,21474,9412,5563,14158,28762,1039,27723,60433,25444,21905,23141,3318
G3601070,2016-2020,NY,New York,36,Tioga County,05000US36107,48431,46386,423,88,417,7,269,1682,47438,993,34722,347,306,14662,5921,4427,9059,20643,15,20628,61965,18646,16533,16789,1997
G3601090,2016-2020,NY,New York,36,Tompkins County,05000US36109,102237,81368,4185,123,9653,40,1855,10026,96894,5343,60001,501,576,13333,8037,5706,31848,40817,1078,39739,61361,38850,35160,36277,1967
G3601110,2016-2020,NY,New York,36,Ulster County,05000US36111,178371,146063,10859,345,3292,11,5717,24168,159571,18800,130502,1325,2375,45433,24154,13948,43267,70088,1253,68835,65306,64994,56439,59252,5094
G3601130,2016-2020,NY,New York,36,Warren County,05000US36113,64187,61295,695,100,553,30,242,2544,62467,1720,48041,442,615,16918,9071,5499,15496,29034,125,28909,64658,25967,22780,23447,3067
G3601150,2016-2020,NY,New York,36,Washington County,05000US36115,61304,56773,1829,184,356,23,515,3248,59566,1738,44788,624,1389,21041,7844,4859,9031,24054,57,23997,59613,21533,17540,19468,2521
G3601170,2016-2020,NY,New York,36,Wayne County,05000US36117,90103,82599,2224,114,766,4,1099,6594,86016,4087,63950,967,1351,25135,12490,8841,15166,37281,357,36924,62003,33771,28743,30665,3510
G3601190,2016-2020,NY,New York,36,Westchester County,05000US36119,968738,598387,143210,3482,59474,297,113397,100982,727296,241442,670717,10729,28037,165103,89471,43847,333530,353485,24946,328539,99489,329022,291835,312542,24463
G3601210,2016-2020,NY,New York,36,Wyoming County,05000US36121,40027,36479,1884,106,182,0,638,1476,38686,1341,29401,203,471,13924,5390,4121,5292,16055,66,15989,58746,14258,11886,12861,1797
G3601230,2016-2020,NY,New York,36,Yates County,05000US36123,24981,23988,243,26,164,7,207,692,24426,555,16635,119,1372,6541,2755,1776,4072,8901,145,8756,55307,6983,6219,6352,1918
G3700010,2016-2020,NC,North Carolina,37,Alamance County,05000US37001,166144,114429,32917,688,2679,54,10104,10546,144991,21153,111693,1573,3837,39758,25990,12234,28301,65455,1444,64011,51580,59080,47970,55787,6375
G3700030,2016-2020,NC,North Carolina,37,Alexander County,05000US37003,37271,32670,1924,350,394,0,1178,1510,35492,1779,26895,279,1016,13911,4901,2962,3826,14049,153,13896,51329,12002,9906,11055,2047
G3700050,2016-2020,NC,North Carolina,37,Alleghany County,05000US37005,11085,10526,183,54,47,1,31,486,10005,1080,8516,110,413,3654,1856,715,1768,5001,92,4909,37158,4116,3206,3820,885
G3700070,2016-2020,NC,North Carolina,37,Anson County,05000US37007,24430,11540,11990,108,315,14,84,758,23428,1002,17637,105,790,9426,3773,1591,1952,9803,100,9703,39799,8315,5913,7762,1488
G3700090,2016-2020,NC,North Carolina,37,Ashe County,05000US37009,27009,25891,199,77,162,15,149,1032,25660,1349,20583,207,594,8436,4782,2440,4124,11885,128,11757,43030,9997,8420,9031,1888
G3700110,2016-2020,NC,North Carolina,37,Avery County,05000US37011,17510,16099,762,197,76,4,174,396,16633,877,13404,94,583,5391,3099,1066,3171,6569,58,6511,42695,5709,4421,5254,860
G3700130,2016-2020,NC,North Carolina,37,Beaufort County,05000US37013,47160,33548,11607,63,49,0,505,2776,43393,3767,34348,553,1124,13316,8421,3821,7113,20219,308,19911,48051,17349,14110,15979,2870
G3700150,2016-2020,NC,North Carolina,37,Bertie County,05000US37015,19081,6641,11803,76,136,1,106,636,18676,405,14294,190,695,7386,2959,990,2074,8008,22,7986,35042,6299,4610,5786,1709
G3700170,2016-2020,NC,North Carolina,37,Bladen County,05000US37017,33209,19225,11520,876,53,0,1337,396,30695,2514,23913,317,833,10258,5769,2392,4344,13394,202,13192,37188,11296,8462,10407,2098
G3700190,2016-2020,NC,North Carolina,37,Brunswick County,05000US37019,137303,115159,12919,830,725,3,2921,9492,130613,6690,109023,457,1920,38028,23861,12624,32133,59416,522,58894,59763,55782,48382,51897,3634
G3700210,2016-2020,NC,North Carolina,37,Buncombe County,05000US37021,259576,227845,15957,836,3268,337,3285,16096,242180,17396,191656,2466,3287,54551,34563,17467,79322,105177,2415,102762,55032,92822,79339,86711,12355
G3700230,2016-2020,NC,North Carolina,37,Burke County,05000US37023,90148,75763,5521,813,3343,112,2890,3412,84526,5622,65944,1569,3013,27946,13757,8622,11037,35664,844,34820,43915,30135,23413,27645,5529
G3700250,2016-2020,NC,North Carolina,37,Cabarrus County,05000US37025,211605,146344,39530,672,8780,153,9185,13882,189161,22444,140582,1697,3139,44118,30926,13579,47123,72843,1370,71473,71177,68821,60594,65290,4022
G3700270,2016-2020,NC,North Carolina,37,Caldwell County,05000US37027,82056,72500,3509,194,428,81,3039,4610,77379,4677,59145,783,3008,26836,12825,6324,9369,32798,276,32522,46094,27740,22091,25384,5058
G3700290,2016-2020,NC,North Carolina,37,Camden County,05000US37029,10654,8721,1181,24,195,57,40,872,10329,325,7659,215,381,2837,1672,1030,1524,3912,7,3905,63834,3654,3184,3490,258
G3700310,2016-2020,NC,North Carolina,37,Carteret County,05000US37031,69301,61715,3418,212,786,45,605,5040,66290,3011,52687,406,735,16366,14036,6108,15036,30060,144,29916,57871,27889,24312,25969,2171
G3700330,2016-2020,NC,North Carolina,37,Caswell County,05000US37033,22619,14241,7391,56,204,22,421,568,21661,958,16498,225,799,7490,3350,2025,2609,8993,33,8960,47938,7358,5716,6818,1635
G3700350,2016-2020,NC,North Carolina,37,Catawba County,05000US37035,158507,124385,13148,632,7064,0,8451,9654,142871,15636,110092,1469,3606,43108,22959,13563,25387,62940,1467,61473,54690,56515,45274,53309,6425
G3700370,2016-2020,NC,North Carolina,37,Chatham County,05000US37037,72853,57630,8598,130,1182,0,2663,5300,64059,8794,53820,684,1838,13954,9160,4668,23516,29904,676,29228,69799,27170,23840,25271,2734
G3700390,2016-2020,NC,North Carolina,37,Cherokee County,05000US37039,28413,26433,365,489,219,16,317,1148,27433,980,21982,204,562,9039,4626,2746,4805,12546,61,12485,40793,10886,9059,9809,1660
G3700410,2016-2020,NC,North Carolina,37,Chowan County,05000US37041,13995,8463,4790,65,68,0,323,572,13493,502,10635,24,633,4527,2045,1099,2307,6389,150,6239,44050,5493,3835,4990,896
G3700430,2016-2020,NC,North Carolina,37,Clay County,05000US37043,11150,10754,215,58,20,44,15,88,10765,385,8681,57,228,3160,1909,980,2347,5300,102,5198,42160,4527,3340,4170,773
G3700450,2016-2020,NC,North Carolina,37,Cleveland County,05000US37045,97765,72430,20260,240,985,125,2032,3386,94147,3618,67371,969,1900,29788,14265,7314,13135,36089,136,35953,43512,30047,24041,27765,6042
G3700470,2016-2020,NC,North Carolina,37,Columbus County,05000US37047,55659,34770,16519,1964,246,10,1074,2152,52598,3061,39312,641,1510,18940,9084,4069,5068,21545,265,21280,38487,17645,12730,16326,3900
G3700490,2016-2020,NC,North Carolina,37,Craven County,05000US37049,102290,71278,21899,673,2982,144,2367,5894,94646,7644,67731,816,1954,22220,17568,8274,16899,41002,790,40212,53894,37023,30502,34510,3979
G3700510,2016-2020,NC,North Carolina,37,Cumberland County,05000US37051,334562,162289,124500,4299,8452,1210,10128,47368,294481,40081,207671,1822,3161,67406,59648,22451,53183,127532,2627,124905,48177,116429,97101,111108,11103
G3700530,2016-2020,NC,North Carolina,37,Currituck County,05000US37053,27210,24261,1496,93,111,18,324,1814,26072,1138,19466,134,361,7376,4831,1851,4913,10868,80,10788,73741,10244,8840,9748,624
G3700550,2016-2020,NC,North Carolina,37,Dare County,05000US37055,36698,33445,1223,54,200,14,705,2114,33978,2720,27533,77,448,7040,6814,2596,10558,15830,245,15585,65420,15204,13486,14528,626
G3700570,2016-2020,NC,North Carolina,37,Davidson County,05000US37057,166837,140969,15760,422,2572,13,2228,9746,154572,12265,117475,1413,4038,49881,27238,12679,22226,67555,1027,66528,50454,60617,49883,56672,6938
G3700590,2016-2020,NC,North Carolina,37,Davie County,05000US37059,42543,37696,2035,273,295,0,487,3514,39603,2940,30457,302,748,11869,7084,3057,7397,16303,186,16117,62028,14862,12546,13891,1441
G3700610,2016-2020,NC,North Carolina,37,Duplin County,05000US37061,58965,40646,13655,222,187,48,2271,3872,45740,13225,40087,923,2751,17505,9378,3692,5838,21437,1201,20236,43422,17943,12877,16905,3494
G3700630,2016-2020,NC,North Carolina,37,Durham County,05000US37063,317665,161588,112965,850,15802,168,10565,31454,274614,43051,219286,3283,8126,50226,33665,15533,108453,130128,5723,124405,62812,122376,107707,117090,7752
G3700650,2016-2020,NC,North Carolina,37,Edgecombe County,05000US37065,52069,20497,29920,176,84,27,516,1698,49557,2512,36281,418,1839,17651,7314,3180,5879,20800,181,20619,40489,16545,11892,15547,4255
G3700670,2016-2020,NC,North Carolina,37,Forsyth County,05000US37067,378499,242798,98741,1318,9070,244,9760,33136,329175,49324,254488,3299,7496,80998,54350,22004,86341,148890,3640,145250,53583,137605,114338,130186,11285
G3700690,2016-2020,NC,North Carolina,37,Franklin County,05000US37069,68027,45378,16389,644,311,97,2143,6130,62152,5875,47485,523,2114,17889,11765,5148,10046,25729,439,25290,58172,22217,18366,20946,3512
G3700710,2016-2020,NC,North Carolina,37,Gaston County,05000US37071,222119,168479,36817,665,3764,161,4051,16364,205947,16172,154096,1887,4809,62388,34512,16519,33981,85286,1019,84267,53474,76347,61449,72193,8939
G3700730,2016-2020,NC,North Carolina,37,Gates County,05000US37073,11519,7260,3638,93,178,0,3,694,11508,11,8388,142,190,3883,2056,1072,1045,4690,64,4626,45871,4000,3410,3795,690
G3700750,2016-2020,NC,North Carolina,37,Graham County,05000US37075,8501,7443,16,764,0,1,210,134,8183,318,6161,11,347,2863,1515,606,819,3521,46,3475,42207,2750,2113,2455,771
G3700770,2016-2020,NC,North Carolina,37,Granville County,05000US37077,59823,36105,17635,214,324,236,2462,5694,54882,4941,42450,933,1545,16526,9055,4288,10103,21567,246,21321,56924,19703,16090,18492,1864
G3700790,2016-2020,NC,North Carolina,37,Greene County,05000US37079,20987,11961,7087,103,10,8,550,2536,17774,3213,15039,291,1128,6938,3237,1884,1561,7218,252,6966,43563,6220,4407,5942,998
G3700810,2016-2020,NC,North Carolina,37,Guilford County,05000US37081,532956,288050,182467,2559,27443,211,13935,36582,489577,43379,356145,4701,9105,107011,73015,31947,130366,208234,4925,203309,54794,187619,161775,177140,20615
G3700830,2016-2020,NC,North Carolina,37,Halifax County,05000US37083,50678,20078,26439,1771,367,98,328,3194,49168,1510,36048,657,1572,18773,6823,2932,5291,21061,83,20978,35904,16924,11967,15497,4137
G3700850,2016-2020,NC,North Carolina,37,Harnett County,05000US37085,134328,89770,28169,1316,1810,364,6920,11958,116819,17509,87575,962,2699,32074,22069,10429,19342,46525,664,45861,54565,42661,35947,40935,3864
G3700870,2016-2020,NC,North Carolina,37,Haywood County,05000US37087,61862,58482,541,326,468,0,540,3010,59305,2557,46602,393,1094,16121,10452,5572,12970,26891,136,26755,51548,23296,17981,21740,3595
G3700890,2016-2020,NC,North Carolina,37,Henderson County,05000US37089,116298,105339,4168,323,1618,0,2004,5692,104463,11835,86747,994,1835,26959,20148,9459,27352,49715,862,48853,58928,45323,38516,42428,4392
G3700910,2016-2020,NC,North Carolina,37,Hertford County,05000US37091,23752,8255,14295,312,206,6,208,940,22867,885,16583,222,668,7460,3932,1647,2654,8903,39,8864,42588,7304,5645,6713,1599
G3700930,2016-2020,NC,North Carolina,37,Hoke County,05000US37093,54590,24060,18320,4197,780,97,3525,7222,46998,7592,35253,312,1311,13181,9057,4920,6472,18448,539,17909,51140,16202,13845,15576,2246
G3700950,2016-2020,NC,North Carolina,37,Hyde County,05000US37095,5089,3231,1501,6,0,0,103,496,4412,677,3843,16,20,2214,799,392,402,2056,111,1945,46667,1782,1232,1690,274
G3700970,2016-2020,NC,North Carolina,37,Iredell County,05000US37097,178853,143147,21605,550,4365,135,3784,10534,164895,13958,123529,1029,2966,41993,27792,13051,36698,68374,1090,67284,62551,62781,53717,59199,5593
G3700990,2016-2020,NC,North Carolina,37,Jackson County,05000US37099,43435,36039,899,3245,318,0,1212,3444,40772,2663,28028,371,886,9981,5588,3234,7968,17008,223,16785,46820,15170,11919,14155,1838
G3701010,2016-2020,NC,North Carolina,37,Johnston County,05000US37101,203308,152289,32889,971,1334,70,7927,15656,175380,27928,135596,2005,4158,47442,31319,18188,32484,71332,1268,70064,61806,65890,56504,62782,5442
